OBS,INC,PALL,PGAS,PNCAR,PPUB,PUCAR,SGAS,X2,X3,X4,X5,X6,Y
1970,736.5,38.8,35.07447784,53,35.2,31.2,28903,2.943488989,-0.100946508,-0.097374164,0.311871667,-0.218002152,6.714226936
1971,801.7,40.5,35.30697911,55.2,37.8,33,30620,2.985432499,-0.137221321,-0.068992871,0.309660979,-0.204794413,6.765328016
1972,868.6,41.8,35.73876719,54.7,39.3,33.1,33072,3.033986381,-0.156660324,-0.061671821,0.26896737,-0.233363057,6.830206267
1973,979,44.4,39.2262863,54.8,39.7,35.2,36942,3.093292173,-0.123892379,-0.111888282,0.210450725,-0.232193387,6.847757303
1974,1072.3,49.3,53.10993377,57.9,40.6,36.7,43054,3.079637072,0.074439906,-0.194156014,0.160793304,-0.295147326,6.697846433
1975,1181.4,53.8,56.73031075,62.9,43.5,43.8,47603,3.089181988,0.053035182,-0.212512529,0.156272697,-0.20563965,6.732342414
1976,1299.9,56.9,59.08853795,66.9,47.8,50.3,52037,3.128747276,0.037741621,-0.174269702,0.161903626,-0.123290264,6.780673321
1977,1436,60.6,62.50962812,70.4,50,54.7,56638,3.165321857,0.031025702,-0.192271888,0.14989837,-0.102431184,6.809114822
1978,1614.8,65.2,65.2,75.8,51.5,55.8,59889,3.20950692,0,-0.235877661,0.150638824,-0.1556856,6.822788659
1979,1808.2,72.6,88.2,81.8,54.9,60.2,73521,3.215122232,0.194642041,-0.279451573,0.119312322,-0.18729257,6.725719396
1980,2019.8,82.4,122.1,88.4,69,62.3,94093,3.199168339,0.393254944,-0.177478932,0.070286533,-0.279624011,6.647198553
1981,2247.9,90.9,135.3,93.7,85.6,76.9,103072,3.207991725,0.397734534,-0.060074718,0.030338188,-0.167254125,6.635688517
1982,2406.8,96.5,128.1,97.4,94.9,88.8,97440,3.216510335,0.283268201,-0.016719303,0.009283202,-0.083156358,6.634180874
1983,2586,99.6,122.5,99.9,99.5,98.7,102927,3.256705395,0.206948865,-0.00100452,0.003007521,-0.009077218,6.733664248
1984,2887.6,103.9,119.8,102.8,105.7,112.5,107565,3.324752088,0.142394788,0.017175995,-0.010643545,0.079524324,6.800026909
1985,3086.5,107.6,119.6,106.1,110.5,113.7,113341,3.356372394,0.105732194,0.026594873,-0.014038602,0.055142753,6.854003411
1986,3262.5,109.6,93.1,110.6,117,108.8,102093,3.393411677,-0.16316319,0.06533656,0.009082715,-0.00732604,6.999965257
1987,3459.5,113.6,95.7,114.6,121.1,113.1,104769,3.416195843,-0.171465208,0.063933144,0.008764298,-0.004411123,6.998294907
1988,3752.4,118.3,96.4,116.9,123.3,118,110341,3.456927143,-0.204717569,0.041396639,-0.011904903,-0.002539147,7.042824648
1989,4016.3,124,106,119.2,129.5,120.4,122882,3.477834794,-0.156842471,0.043399316,-0.039478811,-0.029462033,7.05554073
1990,4293.6,130.7,121.7,121,142.6,117.6,138504,3.4919762,-0.071345621,0.087138887,-0.077114075,-0.105615585,7.037095485
1991,4474.8,136.2,119.6,125.3,148.9,118.1,137295,3.492092543,-0.129971552,0.089150546,-0.083413532,-0.142592671,7.045734333
1992,4754.6,140.3,119,128.4,151.4,123.2,136950,3.523084862,-0.164659494,0.076142354,-0.088632596,-0.129973936,7.048247682
1993,4935.3,144.5,117.3,131.5,167,133.9,141697,3.530889233,-0.208544752,0.144714305,-0.094272656,-0.076186255,7.096711498
1994,5165.4,148.2,117.4,136,172,141.7,148867,3.55117511,-0.232975805,0.148931764,-0.085907827,-0.044850566,7.145221661
1995,5422.6,152.4,120.5,139,175.9,156.5,157245,3.571822041,-0.23485889,0.143407008,-0.09203471,0.026547367,7.173910625
1996,5677.7,156.9,128.8,141.4,181.9,157,168750,3.58869284,-0.197347846,0.147848426,-0.104015906,0.000637146,7.177912795
1997,5982.8,160.5,129.1,141.7,186.7,151.1,172081,3.618350022,-0.217706645,0.151209108,-0.124581796,-0.060352073,7.195133277
1998,6286.2,163,111.5,140.7,190.3,150.6,163199,3.652361833,-0.37972561,0.154851573,-0.147120237,-0.079122885,7.288701003
1999,6639.2,166.6,122.1,139.6,197.7,152,180973,3.685151024,-0.310755349,0.171155,-0.176814539,-0.091715209,7.301262747
