timestamp,AAPL_close,AMZN_close,XOM_close,TSLA_close,GOOGL_close,JPM_close
2018-09-10,218.33,1939.01,81.725,285.5,1175.06,113.72
2018-09-07,221.3,1952.07,81.83,263.24,1177.59,114.32
2018-09-06,223.1,1958.31,80.46,280.95,1183.99,114.1
2018-09-05,226.87,1994.82,81.36,280.74,1199.1,114.59
2018-09-04,228.36,2039.51,80.29,288.95,1211.31,115.15
2018-08-31,227.63,2012.71,80.17,301.66,1231.8,114.58
2018-08-30,225.03,2002.38,80.51,303.15,1254.44,115.19
2018-08-29,222.98,1998.1,80.86,305.01,1264.65,115.76
2018-08-28,219.7,1932.82,80.28,311.86,1245.86,116.14
2018-08-27,217.94,1927.68,80.4,319.27,1256.27,116.71
2018-08-24,216.16,1905.39,79.62,322.82,1236.75,114.68
2018-08-23,215.49,1902.9,79.08,320.1,1221.16,114.73
2018-08-22,215.05,1904.9,79.96,321.64,1221.75,114.97
2018-08-21,215.04,1883.42,78.83,321.9,1217.41,115.32
2018-08-20,215.46,1876.71,78.81,308.44,1221.95,114.62
2018-08-17,217.58,1882.22,78.26,305.5,1215.85,114.77
2018-08-16,213.32,1886.52,78.0,335.45,1224.06,114.77
2018-08-15,210.24,1882.62,76.94,338.69,1232.22,113.7
2018-08-14,209.75,1919.65,78.31,347.64,1258.14,114.65
2018-08-13,208.87,1896.2,78.56,356.41,1248.64,113.89
2018-08-10,207.53,1886.3,79.42,355.49,1252.51,115.73
2018-08-09,208.88,1898.52,80.32,352.45,1264.46,116.88
2018-08-08,207.25,1886.52,80.73,370.34,1261.33,117.79
2018-08-07,207.11,1862.48,81.27,379.57,1255.84,117.55
2018-08-06,209.07,1847.75,80.18,341.99,1237.67,117.12
2018-08-03,207.99,1823.29,80.2,348.17,1238.16,117.09
2018-08-02,207.39,1834.33,79.91,349.54,1241.13,116.15
2018-08-01,201.5,1797.17,80.39,300.84,1232.99,115.66
2018-07-31,190.29,1777.44,81.51,298.14,1227.22,114.95
2018-07-30,189.91,1779.22,81.74,290.17,1230.04,116.73
2018-07-27,190.98,1817.27,81.92,297.18,1252.89,116.03
2018-07-26,194.21,1808.0,84.24,306.65,1285.5,114.85
2018-07-25,194.82,1863.61,83.59,308.74,1275.94,115.18
2018-07-24,193.0,1829.24,83.01,297.43,1258.15,114.15
2018-07-23,191.61,1802.0,81.4,303.2,1211.0,113.35
2018-07-20,191.44,1813.7,81.4,313.58,1197.88,111.28
2018-07-19,191.88,1812.97,82.01,320.23,1199.1,109.89
2018-07-18,190.4,1842.92,82.22,323.85,1212.91,111.53
